super category,category,sub category,brand,Priority,Expected Date
Electronics,Mobiles and Tablets,Mobile Accessories,Keeep,1,
Fashion,Men's accessories,Watches,Seventy Five,2,
Fashion,Mens Clothing,Sportswear,Sdl By Sweet Dreams,2,
Fashion,Women Clothing,Pants & Leggings,Mysterious Miss,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Samsung,1,
Fashion,Mens Clothing,Polo Shirts,Softwear,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,GlamGals,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,SNAP,2,
Fashion,Mens Clothing,Polo Shirts,Gritstones,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Turtle,1,
Fashion,Mens Clothing,Pants & Chinos,Velloche,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,Mega,2,
Fashion,Women Bags,Hand Bags,HEYS,2,
Home and Kitchen,Home Tools,Home Improvement,SONASHI,3,
Fashion,Women Clothing,Tops,MB,2,
Fashion,Mens Bags,Bags,HEYS,2,
Fashion,Women Clothing,Skirts,Club L,2,
Electronics,Cameras and Photography,Camera Accessories,Hoya,1,
Electronics,Mobiles and Tablets,Mobile Accessories,BlackBerry,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Renon,1,
Fashion,Womens Accessories,Watches,SWISTON,2,
Fashion,Women Clothing,Tops,Daphnea,2,
Home and Kitchen,Small Appliances,Others,SKROSS,3,
Electronics,Gaming and Accessories,Gaming Titles,2K Games,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Nokia,1,
Fashion,Women Clothing,Jumpsuits & Playsuits,Club L,2,
Automotive,Car Accessories,Interior Accessories,Hoco,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Formula,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Beecool,1,
Home and Kitchen,Small Appliances,Kitchen Appliances,SONASHI,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Capri,2,
Fashion,Mens Clothing,T-shirts & Vests,Lawman Pg3,2,
Fashion,Women Bags,Small Leather Goods,Kole,2,
Fashion,Women Clothing,T-shirts & Vests,Fort Collins,2,
Electronics,"TVs, Audio and Video",Portable Audio Players,Sonashi,1,
Electronics,"Computers, Laptops and Storage",Storage Devices,Tribe,1,
Fashion,Mens Clothing,Shorts,T10 Sports,2,
